assessment_id,assessment_base_id,assessment_version,assessment_type_id,assessment_update_ts
"K7qVnQjhEeWCQyIAC5XEog@3","K7qVnQjhEeWCQyIAC5XEog",3,7,2015-06-08 13:23:29.90
"Qjulp-OtEeS_7SIACxCfaQ@1","Qjulp-OtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:20.801
"QrYsfOOtEeS_7SIACxCfaQ@4","QrYsfOOtEeS_7SIACxCfaQ",4,1,2015-08-13 13:47:20.53
"K7qVnQjhEeWCQyIAC5XEog@4","K7qVnQjhEeWCQyIAC5XEog",4,7,2015-06-08 13:51:43.981
"7Z6FEA8qEeWjlSIACxCHZA@27","7Z6FEA8qEeWjlSIACxCHZA",27,1,2015-06-10 18:02:59.137
"TAkmugjhEeWCQyIAC5XEog@3","TAkmugjhEeWCQyIAC5XEog",3,7,2015-07-27 05:45:34.317
"QPyVu-OtEeS_7SIACxCfaQ@2","QPyVu-OtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:00.39
"QQHs7eOtEeS_7SIACxCfaQ@1","QQHs7eOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:18.745
"Qy9U0-OtEeS_7SIACxCfaQ@3","Qy9U0-OtEeS_7SIACxCfaQ",3,1,2015-06-17 21:06:58.375
"7Z6FEA8qEeWjlSIACxCHZA@5","7Z6FEA8qEeWjlSIACxCHZA",5,1,2015-06-10 04:41:44.374
"7Z6FEA8qEeWjlSIACxCHZA@8","7Z6FEA8qEeWjlSIACxCHZA",8,1,2015-06-10 04:43:49.809
"DwWleQjhEeWk6iIAC3_PpA@1","DwWleQjhEeWk6iIAC3_PpA",1,7,2015-06-02 04:37:21.736
"7Z6FEA8qEeWjlSIACxCHZA@13","7Z6FEA8qEeWjlSIACxCHZA",13,1,2015-06-10 04:44:48.71
"QOLzM-OtEeS_7SIACxCfaQ@2","QOLzM-OtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:26.987
"QOhKZeOtEeS_7SIACxCfaQ@2","QOhKZeOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:43.037
"P5TI8-OtEeS_7SIACxCfaQ@1","P5TI8-OtEeS_7SIACxCfaQ",1,6,2015-04-15 20:23:16.351
"86CCsYfPEeSb9SIACzCJlg@2","86CCsYfPEeSb9SIACzCJlg",2,1,2015-06-08 14:21:44.388
