assessment_id,assessment_base_id,assessment_version,assessment_type_id,assessment_update_ts,assessment_passing_fraction
"7Z6FEA8qEeWjlSIACxCHZA@15","7Z6FEA8qEeWjlSIACxCHZA",15,1,2015-06-10 04:45:02.217,
"P7bP7uOtEeS_7SIACxCfaQ@1","P7bP7uOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:16.575,
"QPyVu-OtEeS_7SIACxCfaQ@2","QPyVu-OtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:00.39,
"P6SneOOtEeS_7SIACxCfaQ@1","P6SneOOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:16.456,
"PysxSuOtEeS_7SIACxCfaQ@3","PysxSuOtEeS_7SIACxCfaQ",3,1,2015-10-02 07:31:12.45,
"7Z6FEA8qEeWjlSIACxCHZA@16","7Z6FEA8qEeWjlSIACxCHZA",16,1,2015-06-10 04:45:05.593,
"PzJdPOOtEeS_7SIACxCfaQ@1","PzJdPOOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:15.707,
"QQ03lOOtEeS_7SIACxCfaQ@2","QQ03lOOtEeS_7SIACxCfaQ",2,1,2015-06-12 22:36:53.574,
"P6SneOOtEeS_7SIACxCfaQ@3","P6SneOOtEeS_7SIACxCfaQ",3,1,2015-11-08 16:25:27.288,
"QsBlsOOtEeS_7SIACxCfaQ@3","QsBlsOOtEeS_7SIACxCfaQ",3,1,2015-06-17 21:06:53.516,
"QN1N4eOtEeS_7SIACxCfaQ@1","QN1N4eOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:18.505,
"Q1zzl-OtEeS_7SIACxCfaQ@1","Q1zzl-OtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:22.697,
"auc45AjhEeWTpSIAC4-MSg@1","auc45AjhEeWTpSIAC4-MSg",1,7,2015-06-02 04:39:55.887,
"Px5gCOOtEeS_7SIACxCfaQ@3","Px5gCOOtEeS_7SIACxCfaQ",3,1,2015-06-17 21:07:17.16,
"QO4Wx-OtEeS_7SIACxCfaQ@1","QO4Wx-OtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:18.615,
"Qsh8AuOtEeS_7SIACxCfaQ@1","Qsh8AuOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:21.724,
"QPyVu-OtEeS_7SIACxCfaQ@3","QPyVu-OtEeS_7SIACxCfaQ",3,1,2015-06-17 21:06:55.703,
"P6mwiuOtEeS_7SIACxCfaQ@3","P6mwiuOtEeS_7SIACxCfaQ",3,1,2015-11-18 04:13:17.227,
"A0XgSvlIEeS7YiIAC0KBkQ@3","A0XgSvlIEeS7YiIAC0KBkQ",3,6,2015-05-14 10:53:23.636,
"QN1N4eOtEeS_7SIACxCfaQ@3","QN1N4eOtEeS_7SIACxCfaQ",3,1,2015-06-17 21:06:33.47,
"8-x_H4fPEeSb9SIACzCJlg@1","8-x_H4fPEeSb9SIACzCJlg",1,1,2014-10-04 18:12:46.344,
"A0XgSvlIEeS7YiIAC0KBkQ@4","A0XgSvlIEeS7YiIAC0KBkQ",4,6,2015-05-14 11:01:01.417,
